--------------------2024-May-21 07:50:09------------------------------------
2024-May-21 09:20:20 |BANKNIFTY24522-47800-48200CE |TRDPARITY:75 |QTY:1 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000003791355 |OrdNumL2:1500000003791441 |OrdNumL3:1700000003899657 |OrdNumL4:1700000003899659 |M2M:2463.75
2024-May-21 09:20:20 |BANKNIFTY24522-47800-48200CE |TRDPARITY:95 |QTY:2 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000003791389 |OrdNumL2:1500000003791483 |OrdNumL3:1700000003899704 |OrdNumL4:1700000003899706 |M2M:2453.55
2024-May-21 09:20:20 |BANKNIFTY24522-47500-48200CE |TRDPARITY:15 |QTY:2 |ParityWas:120 |OpnCls:2 |OrdNumL1:1600000003713652 |OrdNumL2:1500000003791609 |OrdNumL3:1700000003899858 |OrdNumL4:1800000003809470 |M2M:2410.95
2024-May-21 09:20:27 |BANKNIFTY24522-47800-48200CE |TRDPARITY:135 |QTY:1 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000003898160 |OrdNumL2:1500000003898225 |OrdNumL3:1700000003998341 |OrdNumL4:1700000003998343 |M2M:2411.85
2024-May-21 09:20:28 |BANKNIFTY24522-47800-48200CE |TRDPARITY:120 |QTY:1 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000003898982 |OrdNumL2:1500000003899109 |OrdNumL3:1700000003999179 |OrdNumL4:1700000003999181 |M2M:2410.50
2024-May-21 09:20:28 |BANKNIFTY24522-47700-48200CE |TRDPARITY:120 |QTY:1 |ParityWas:120 |OpnCls:2 |OrdNumL1:1600000003824884 |OrdNumL2:1500000003902614 |OrdNumL3:1700000004002271 |OrdNumL4:1800000003912192 |M2M:2407.80
2024-May-21 09:20:28 |BANKNIFTY24522-47800-48200CE |TRDPARITY:135 |QTY:4 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000003903190 |OrdNumL2:1500000003903500 |OrdNumL3:1700000004002939 |OrdNumL4:1700000004002941 |M2M:2411.40
2024-May-21 09:20:30 |BANKNIFTY24522-47800-48200CE |TRDPARITY:115 |QTY:2 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000003928524 |OrdNumL2:1500000003928542 |OrdNumL3:1700000004027767 |OrdNumL4:1700000004027770 |M2M:2407.20
2024-May-21 09:20:35 |BANKNIFTY24522-48000-48200CE |TRDPARITY:80 |QTY:1 |ParityWas:110 |OpnCls:2 |OrdNumL1:1500000004012447 |OrdNumL2:1500000004012460 |OrdNumL3:1700000004105308 |OrdNumL4:1700000004105309 |M2M:2402.10
2024-May-21 09:20:41 |BANKNIFTY24JUN-47500-48000CE |TRDPARITY:470 |QTY:1 |ParityWas:335 |OpnCls:2 |OrdNumL1:1300000001186305 |OrdNumL2:1300000001188443 |OrdNumL3:1300000001188444 |OrdNumL4:1300000001188445 |M2M:2371.65
2024-May-21 09:20:42 |BANKNIFTY24522-47500-48200CE |TRDPARITY:115 |QTY:2 |ParityWas:115 |OpnCls:2 |OrdNumL1:1600000004075841 |OrdNumL2:1500000004152714 |OrdNumL3:1700000004235801 |OrdNumL4:1800000004144359 |M2M:2359.05
2024-May-21 09:20:47 |BANKNIFTY24522-47800-48200CE |TRDPARITY:60 |QTY:1 |ParityWas:115 |OpnCls:2 |OrdNumL1:1500000004229848 |OrdNumL2:1500000004229911 |OrdNumL3:1700000004306981 |OrdNumL4:1700000004306982 |M2M:2333.85
2024-May-21 09:20:47 |BANKNIFTY24522-48000-48200CE |TRDPARITY:15 |QTY:1 |ParityWas:110 |OpnCls:2 |OrdNumL1:1500000004229878 |OrdNumL2:1500000004229916 |OrdNumL3:1700000004306988 |OrdNumL4:1700000004306989 |M2M:2333.85
2024-May-21 09:20:56 |BANKNIFTY24522-46500-48100CE |TRDPARITY:405 |QTY:2 |ParityWas:245 |OpnCls:2 |OrdNumL1:1600000004309759 |OrdNumL2:1600000004311043 |OrdNumL3:1800000004360843 |OrdNumL4:1800000004360846 |M2M:2371.95
2024-May-21 09:21:22 |BANKNIFTY24522-47800-48200CE |TRDPARITY:260 |QTY:1 |ParityWas:185 |OpnCls:1 |OrdNumL1:1500000004855502 |OrdNumL2:1500000004857440 |OrdNumL3:1700000004857310 |OrdNumL4:1700000004857312 |M2M:2395.80
2024-May-21 09:21:22 |BANKNIFTY24522-47800-48000CE |TRDPARITY:5 |QTY:1 |ParityWas:110 |OpnCls:2 |OrdNumL1:1500000004866334 |OrdNumL2:1500000004866639 |OrdNumL3:1700000004864577 |OrdNumL4:1700000004864578 |M2M:2377.95
