--------------------2024-May-21 07:54:07------------------------------------
2024-May-21 09:55:16 |BANKNIFTY24522-48300-48100PE |TRDPARITY:70 |QTY:2 |ParityWas:125 |OpnCls:2 |OrdNumL1:1800000028539135 |OrdNumL2:1800000028539368 |OrdNumL3:1600000028448419 |OrdNumL4:1600000028448420 |M2M:19.05
2024-May-21 09:55:18 |BANKNIFTY24522-49000-47900PE |TRDPARITY:440 |QTY:2 |ParityWas:320 |OpnCls:1 |OrdNumL1:1700000029436017 |OrdNumL2:1800000028607422 |OrdNumL3:1600000028497313 |OrdNumL4:1500000029770072 |M2M:115.35
2024-May-21 09:55:20 |BANKNIFTY24522-46700-47900CE |TRDPARITY:740 |QTY:2 |ParityWas:400 |OpnCls:1 |OrdNumL1:1600000028524100 |OrdNumL2:1600000028537189 |OrdNumL3:1800000028662681 |OrdNumL4:1800000028662683 |M2M:293.85
2024-May-21 09:55:38 |BANKNIFTY24522-46500-47900CE |TRDPARITY:390 |QTY:2 |ParityWas:130 |OpnCls:2 |OrdNumL1:1600000028813823 |OrdNumL2:1600000028815373 |OrdNumL3:1800000029036046 |OrdNumL4:1800000029036048 |M2M:334.05
2024-May-21 09:55:49 |BANKNIFTY24522-48300-47900PE |TRDPARITY:70 |QTY:2 |ParityWas:170 |OpnCls:1 |OrdNumL1:1800000029212229 |OrdNumL2:1800000029212659 |OrdNumL3:1600000028958467 |OrdNumL4:1600000028958468 |M2M:327.45
2024-May-21 09:55:52 |BANKNIFTY24522-46800-47900CE |TRDPARITY:190 |QTY:2 |ParityWas:125 |OpnCls:2 |OrdNumL1:1500000030270211 |OrdNumL2:1600000029004352 |OrdNumL3:1800000029269050 |OrdNumL4:1700000030125622 |M2M:319.35
2024-May-21 09:55:59 |BANKNIFTY24522-47100-48100CE |TRDPARITY:235 |QTY:2 |ParityWas:195 |OpnCls:2 |OrdNumL1:1600000029071081 |OrdNumL2:1600000029092773 |OrdNumL3:1800000029376439 |OrdNumL4:1800000029376441 |M2M:334.65
2024-May-21 09:56:53 |BANKNIFTY24522-49300-48000PE |TRDPARITY:310 |QTY:1 |ParityWas:230 |OpnCls:2 |OrdNumL1:1800000030055084 |OrdNumL2:1700000030955099 |OrdNumL3:1500000030962190 |OrdNumL4:1600000029682933 |M2M:346.80
2024-May-21 09:58:40 |BANKNIFTY24522-49100-48000PE |TRDPARITY:195 |QTY:1 |ParityWas:155 |OpnCls:2 |OrdNumL1:1800000031009887 |OrdNumL2:1700000031956603 |OrdNumL3:1500000031812077 |OrdNumL4:1600000030528710 |M2M:345.75
2024-May-21 10:00:15 |BANKNIFTY24522-47000-48100CE |TRDPARITY:-65 |QTY:2 |ParityWas:160 |OpnCls:2 |OrdNumL1:1500000032708285 |OrdNumL2:1600000031417581 |OrdNumL3:1800000032063865 |OrdNumL4:1700000033087233 |M2M:167.85
2024-May-21 10:00:15 |BANKNIFTY24522-47000-48000CE |TRDPARITY:-142 |QTY:2 |ParityWas:155 |OpnCls:2 |OrdNumL1:1500000032708284 |OrdNumL2:1500000032708856 |OrdNumL3:1700000033087219 |OrdNumL4:1700000033087220 |M2M:167.85
2024-May-21 10:01:01 |BANKNIFTY24522-49000-48000PE |TRDPARITY:430 |QTY:1 |ParityWas:325 |OpnCls:1 |OrdNumL1:1700000033852632 |OrdNumL2:1700000033853045 |OrdNumL3:1500000033297922 |OrdNumL4:1500000033297923 |M2M:213.60
2024-May-21 10:04:26 |BANKNIFTY24522-48500-48100PE |TRDPARITY:355 |QTY:2 |ParityWas:215 |OpnCls:1 |OrdNumL1:1800000035449058 |OrdNumL2:1800000035449394 |OrdNumL3:1600000034145255 |OrdNumL4:1600000034145256 |M2M:289.80
2024-May-21 10:04:26 |BANKNIFTY24522-48500-47900PE |TRDPARITY:348 |QTY:2 |ParityWas:210 |OpnCls:1 |OrdNumL1:1800000035449060 |OrdNumL2:1800000035449395 |OrdNumL3:1600000034145257 |OrdNumL4:1600000034145261 |M2M:365.40
2024-May-21 10:08:27 |BANKNIFTY24522-46200-48000CE |TRDPARITY:665 |QTY:1 |ParityWas:525 |OpnCls:1 |OrdNumL1:1500000037711983 |OrdNumL2:1500000037867764 |OrdNumL3:1700000039343132 |OrdNumL4:1700000039343133 |M2M:438.90
2024-May-21 10:12:18 |BANKNIFTY24522-46500-47900CE |TRDPARITY:205 |QTY:2 |ParityWas:130 |OpnCls:2 |OrdNumL1:1600000038633977 |OrdNumL2:1600000038634857 |OrdNumL3:1800000040423006 |OrdNumL4:1800000040423008 |M2M:423.90
2024-May-21 10:12:46 |BANKNIFTY24522-46500-47900CE |TRDPARITY:175 |QTY:2 |ParityWas:130 |OpnCls:2 |OrdNumL1:1600000038851067 |OrdNumL2:1600000038857516 |OrdNumL3:1800000040691056 |OrdNumL4:1800000040691057 |M2M:399.90
2024-May-21 10:15:40 |BANKNIFTY24522-48900-47900PE |TRDPARITY:300 |QTY:2 |ParityWas:310 |OpnCls:1 |OrdNumL1:1800000042451485 |OrdNumL2:1800000042451552 |OrdNumL3:1600000040294966 |OrdNumL4:1600000040294967 |M2M:453.60
2024-May-21 10:15:44 |BANKNIFTY24522-49100-48000PE |TRDPARITY:255 |QTY:2 |ParityWas:165 |OpnCls:2 |OrdNumL1:1800000042503120 |OrdNumL2:1700000044299279 |OrdNumL3:1500000041995685 |OrdNumL4:1600000040343745 |M2M:466.20
2024-May-21 10:15:46 |BANKNIFTY24522-47000-47900CE |TRDPARITY:130 |QTY:2 |ParityWas:95 |OpnCls:2 |OrdNumL1:1500000042028689 |OrdNumL2:1600000040375158 |OrdNumL3:1800000042557833 |OrdNumL4:1700000044339850 |M2M:450.60
2024-May-21 10:15:51 |BANKNIFTY24522-48200-47900PE |TRDPARITY:190 |QTY:2 |ParityWas:125 |OpnCls:2 |OrdNumL1:1700000044440965 |OrdNumL2:1800000042656627 |OrdNumL3:1600000040447928 |OrdNumL4:1500000042106021 |M2M:473.10
2024-May-21 10:15:51 |BANKNIFTY24522-48200-47800PE |TRDPARITY:145 |QTY:2 |ParityWas:130 |OpnCls:2 |OrdNumL1:1700000044440974 |OrdNumL2:1700000044441186 |OrdNumL3:1500000042106050 |OrdNumL4:1500000042106051 |M2M:480.60
2024-May-21 10:15:51 |BANKNIFTY24522-48200-48000PE |TRDPARITY:195 |QTY:2 |ParityWas:120 |OpnCls:2 |OrdNumL1:1700000044440971 |OrdNumL2:1700000044441177 |OrdNumL3:1500000042106046 |OrdNumL4:1500000042106049 |M2M:505.80
2024-May-21 10:16:38 |BANKNIFTY24522-46700-47900CE |TRDPARITY:125 |QTY:2 |ParityWas:120 |OpnCls:2 |OrdNumL1:1600000040972590 |OrdNumL2:1600000040981337 |OrdNumL3:1800000043337447 |OrdNumL4:1800000043337448 |M2M:475.50
2024-May-21 10:17:26 |BANKNIFTY24522-46700-47900CE |TRDPARITY:145 |QTY:1 |ParityWas:120 |OpnCls:2 |OrdNumL1:1600000041449306 |OrdNumL2:1600000041476429 |OrdNumL3:1800000043914367 |OrdNumL4:1800000043914368 |M2M:463.35
2024-May-21 10:17:49 |BANKNIFTY24522-46800-47900CE |TRDPARITY:195 |QTY:1 |ParityWas:120 |OpnCls:2 |OrdNumL1:1500000043414374 |OrdNumL2:1600000041698527 |OrdNumL3:1800000044149978 |OrdNumL4:1700000045989407 |M2M:461.10
