--------------------2024-May-21 07:45:05------------------------------------
2024-May-21 09:17:13 |FINNIFTY24521-21400-21450CE |TRDPARITY:35 |QTY:2 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000003322707 |OrdNumL2:1200000003322763 |OrdNumL3:1900000003095219 |OrdNumL4:1900000003095220 |M2M:2029.60
2024-May-21 09:17:13 |FINNIFTY24521-21400-21500CE |TRDPARITY:65 |QTY:3 |ParityWas:60 |OpnCls:1 |OrdNumL1:1200000003325217 |OrdNumL2:1200000003325575 |OrdNumL3:1900000003100080 |OrdNumL4:1900000003100082 |M2M:2076.40
2024-May-21 09:17:14 |FINNIFTY24521-21400-21450CE |TRDPARITY:53 |QTY:3 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000003342406 |OrdNumL2:1200000003342603 |OrdNumL3:1900000003121194 |OrdNumL4:1900000003121195 |M2M:2107.60
2024-May-21 09:17:15 |FINNIFTY24521-21400-21450CE |TRDPARITY:55 |QTY:3 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000003360462 |OrdNumL2:1200000003360889 |OrdNumL3:1900000003140868 |OrdNumL4:1900000003140871 |M2M:2141.20
2024-May-21 09:17:15 |FINNIFTY24521-21400-21500CE |TRDPARITY:65 |QTY:3 |ParityWas:60 |OpnCls:1 |OrdNumL1:1200000003363612 |OrdNumL2:1200000003363913 |OrdNumL3:1900000003143964 |OrdNumL4:1900000003143970 |M2M:2188.00
2024-May-21 09:17:16 |FINNIFTY24521-21400-21500CE |TRDPARITY:48 |QTY:3 |ParityWas:60 |OpnCls:1 |OrdNumL1:1200000003381904 |OrdNumL2:1200000003382320 |OrdNumL3:1900000003162756 |OrdNumL4:1900000003162762 |M2M:2214.40
2024-May-21 09:17:16 |FINNIFTY24521-21400-21500CE |TRDPARITY:65 |QTY:3 |ParityWas:60 |OpnCls:1 |OrdNumL1:1200000003384810 |OrdNumL2:1200000003384866 |OrdNumL3:1900000003166121 |OrdNumL4:1900000003166124 |M2M:2261.20
2024-May-21 09:17:18 |FINNIFTY24521-21400-21450CE |TRDPARITY:15 |QTY:3 |ParityWas:55 |OpnCls:1 |OrdNumL1:1200000003417359 |OrdNumL2:1200000003417728 |OrdNumL3:1900000003204273 |OrdNumL4:1900000003204274 |M2M:2246.80
2024-May-21 09:17:18 |FINNIFTY24521-21400-21500CE |TRDPARITY:56 |QTY:4 |ParityWas:60 |OpnCls:1 |OrdNumL1:1200000003426882 |OrdNumL2:1200000003426956 |OrdNumL3:1900000003214693 |OrdNumL4:1900000003214695 |M2M:2294.80
2024-May-21 09:17:19 |FINNIFTY24521-21400-21500CE |TRDPARITY:46 |QTY:4 |ParityWas:60 |OpnCls:1 |OrdNumL1:1200000003443262 |OrdNumL2:1200000003443296 |OrdNumL3:1900000003230961 |OrdNumL4:1900000003230962 |M2M:2326.80
