--------------------2024-May-21 07:52:08------------------------------------
2024-May-21 09:16:10 |FINNIFTY24521-21200-21500CE |TRDPARITY:65 |QTY:2 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000001977963 |OrdNumL2:1200000001978120 |OrdNumL3:1900000001820399 |OrdNumL4:1900000001820400 |M2M:1864.90
2024-May-21 09:16:11 |NIFTY24523-22050-22400CE |TRDPARITY:210 |QTY:1 |ParityWas:185 |OpnCls:1 |OrdNumL1:1000000000480313 |OrdNumL2:1000000000480907 |OrdNumL3:2000000000449373 |OrdNumL4:2000000000449374 |M2M:1899.90
2024-May-21 09:16:13 |FINNIFTY24521-21200-21500CE |TRDPARITY:65 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000002022174 |OrdNumL2:1200000002022921 |OrdNumL3:1900000001862865 |OrdNumL4:1900000001862866 |M2M:1903.50
2024-May-21 09:16:13 |FINNIFTY24521-21200-21500CE |TRDPARITY:65 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000002025286 |OrdNumL2:1200000002029809 |OrdNumL3:1900000001870224 |OrdNumL4:1900000001870225 |M2M:1907.10
2024-May-21 09:16:13 |FINNIFTY24521-21200-21500CE |TRDPARITY:70 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000002032841 |OrdNumL2:1200000002032937 |OrdNumL3:1900000001874085 |OrdNumL4:1900000001874086 |M2M:1912.70
2024-May-21 09:16:13 |FINNIFTY24521-21200-21500CE |TRDPARITY:55 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000002034426 |OrdNumL2:1200000002034449 |OrdNumL3:1900000001875443 |OrdNumL4:1900000001875444 |M2M:1912.30
2024-May-21 09:16:14 |FINNIFTY24521-21200-21550CE |TRDPARITY:65 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000002051576 |OrdNumL2:1200000002052014 |OrdNumL3:1900000001894437 |OrdNumL4:1900000001894438 |M2M:1915.10
2024-May-21 09:16:14 |MIDCPNIFTY24MAY-11550-11350PE |TRDPARITY:150 |QTY:1 |ParityWas:135 |OpnCls:1 |OrdNumL1:1300000000204211 |OrdNumL2:1300000000205167 |OrdNumL3:1400000000312219 |OrdNumL4:1400000000312220 |M2M:1992.35
2024-May-21 09:16:19 |FINNIFTY24521-21200-21500CE |TRDPARITY:65 |QTY:2 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000002177996 |OrdNumL2:1200000002178027 |OrdNumL3:1900000002010781 |OrdNumL4:1900000002010782 |M2M:1999.55
2024-May-21 09:16:20 |NIFTY24MAY-22800-22700PE |TRDPARITY:100 |QTY:1 |ParityWas:90 |OpnCls:2 |OrdNumL1:1200000002196061 |OrdNumL2:1200000002196482 |OrdNumL3:1200000002196483 |OrdNumL4:1200000002196484 |M2M:2001.55
2024-May-21 09:16:20 |NIFTY24523-22800-22400PE |TRDPARITY:80 |QTY:2 |ParityWas:75 |OpnCls:2 |OrdNumL1:2000000000515810 |OrdNumL2:2000000000515901 |OrdNumL3:1000000000546410 |OrdNumL4:1000000000546412 |M2M:2002.55
2024-May-21 09:16:25 |FINNIFTY24521-21200-21500CE |TRDPARITY:50 |QTY:2 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000002287146 |OrdNumL2:1200000002287259 |OrdNumL3:1900000002108563 |OrdNumL4:1900000002108565 |M2M:1997.75
2024-May-21 09:16:25 |FINNIFTY24521-21200-21450CE |TRDPARITY:60 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:1200000002286810 |OrdNumL2:1200000002288073 |OrdNumL3:1900000002109441 |OrdNumL4:1900000002109443 |M2M:2000.95
2024-May-21 09:16:25 |FINNIFTY24521-21200-21450CE |TRDPARITY:60 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:1200000002288110 |OrdNumL2:1200000002288182 |OrdNumL3:1900000002109546 |OrdNumL4:1900000002109549 |M2M:2004.15
2024-May-21 09:16:26 |FINNIFTY24521-21200-21500CE |TRDPARITY:65 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000002306676 |OrdNumL2:1200000002310434 |OrdNumL3:1900000002128712 |OrdNumL4:1900000002128713 |M2M:2007.75
2024-May-21 09:16:26 |FINNIFTY24521-21200-21500CE |TRDPARITY:55 |QTY:2 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000002311436 |OrdNumL2:1200000002311634 |OrdNumL3:1900000002129367 |OrdNumL4:1900000002129368 |M2M:2006.95
2024-May-21 09:16:26 |FINNIFTY24521-21300-21500CE |TRDPARITY:50 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000002319976 |OrdNumL2:1200000002320137 |OrdNumL3:1900000002136906 |OrdNumL4:1900000002136907 |M2M:2010.15
2024-May-21 09:16:26 |FINNIFTY24521-21200-21500CE |TRDPARITY:57 |QTY:2 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000002320996 |OrdNumL2:1200000002321025 |OrdNumL3:1900000002137459 |OrdNumL4:1900000002137460 |M2M:2010.95
2024-May-21 09:16:27 |NIFTY24MAY-22800-22700PE |TRDPARITY:110 |QTY:2 |ParityWas:90 |OpnCls:2 |OrdNumL1:1200000002309825 |OrdNumL2:1200000002322169 |OrdNumL3:1200000002322170 |OrdNumL4:1200000002322172 |M2M:2019.95
2024-May-21 09:16:27 |FINNIFTY24521-21200-21550CE |TRDPARITY:55 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000002320712 |OrdNumL2:1200000002322328 |OrdNumL3:1900000002138532 |OrdNumL4:1900000002138533 |M2M:2018.75
2024-May-21 09:16:29 |FINNIFTY24521-21300-21500CE |TRDPARITY:40 |QTY:1 |ParityWas:40 |OpnCls:2 |OrdNumL1:1200000002360384 |OrdNumL2:1200000002360511 |OrdNumL3:1900000002170088 |OrdNumL4:1900000002170089 |M2M:2017.95
