--------------------2024-May-21 07:52:07------------------------------------
2024-May-21 09:55:15 |BANKNIFTY24522-48100-48000PE |TRDPARITY:-2020 |QTY:2 |ParityWas:125 |OpnCls:2 |OrdNumL1:1800000028500266 |OrdNumL2:1700000029342416 |OrdNumL3:1500000029698652 |OrdNumL4:1600000028429781 |M2M:-20607.60
2024-May-21 09:55:15 |BANKNIFTY24522-48300-48000PE |TRDPARITY:-1870 |QTY:2 |ParityWas:140 |OpnCls:2 |OrdNumL1:1800000028499971 |OrdNumL2:1700000029329881 |OrdNumL3:1500000029691286 |OrdNumL4:1600000028423170 |M2M:-20607.60
2024-May-21 09:55:15 |BANKNIFTY24522-48500-48000PE |TRDPARITY:-2535 |QTY:2 |ParityWas:135 |OpnCls:2 |OrdNumL1:1800000028500099 |OrdNumL2:1700000029342413 |OrdNumL3:1500000029698648 |OrdNumL4:1600000028429778 |M2M:-20607.60
2024-May-21 09:55:15 |BANKNIFTY24522-49000-48500PE |TRDPARITY:-2520 |QTY:2 |ParityWas:175 |OpnCls:2 |OrdNumL1:1700000029330818 |OrdNumL2:1800000028513106 |OrdNumL3:1600000028429804 |OrdNumL4:1500000029698693 |M2M:-20607.60
2024-May-21 09:55:15 |BANKNIFTY24522-49500-47900PE |TRDPARITY:-1795 |QTY:2 |ParityWas:165 |OpnCls:2 |OrdNumL1:1800000028503634 |OrdNumL2:1800000028513174 |OrdNumL3:1600000028429895 |OrdNumL4:1600000028429897 |M2M:-20607.60
2024-May-21 09:55:15 |BANKNIFTY24522-49500-48500PE |TRDPARITY:-1750 |QTY:2 |ParityWas:220 |OpnCls:2 |OrdNumL1:1800000028503636 |OrdNumL2:1800000028513175 |OrdNumL3:1600000028429900 |OrdNumL4:1600000028429903 |M2M:-20607.60
2024-May-21 09:55:15 |BANKNIFTY24MAY-46500-48000CE |TRDPARITY:-460 |QTY:2 |ParityWas:1175 |OpnCls:1 |OrdNumL1:1400000017795291 |OrdNumL2:1400000017802337 |OrdNumL3:1400000017802338 |OrdNumL4:1400000017802339 |M2M:-20607.60
2024-May-21 09:55:15 |BANKNIFTY24MAY-48800-48000PE |TRDPARITY:-790 |QTY:2 |ParityWas:255 |OpnCls:2 |OrdNumL1:1400000017796059 |OrdNumL2:1400000017802355 |OrdNumL3:1400000017802356 |OrdNumL4:1400000017802358 |M2M:-20607.60
2024-May-21 09:55:15 |BANKNIFTY24522-46500-47900CE |TRDPARITY:-2255 |QTY:2 |ParityWas:430 |OpnCls:1 |OrdNumL1:1600000028423421 |OrdNumL2:1600000028429829 |OrdNumL3:1800000028513129 |OrdNumL4:1800000028513130 |M2M:-20607.60
2024-May-21 09:55:15 |BANKNIFTY24522-46500-48500CE |TRDPARITY:-2205 |QTY:2 |ParityWas:505 |OpnCls:1 |OrdNumL1:1600000028423422 |OrdNumL2:1600000028429831 |OrdNumL3:1800000028513131 |OrdNumL4:1800000028513133 |M2M:-20607.60
2024-May-21 09:55:15 |BANKNIFTY24522-47000-47900CE |TRDPARITY:-1435 |QTY:2 |ParityWas:320 |OpnCls:1 |OrdNumL1:1500000029692317 |OrdNumL2:1600000028429874 |OrdNumL3:1800000028513170 |OrdNumL4:1700000029342514 |M2M:-20607.60
