--------------------2024-May-21 07:48:05------------------------------------
--------------------2024-May-21 07:56:21------------------------------------
2024-May-21 09:47:11 |NIFTY24523-22200-22500CE |TRDPARITY:55 |QTY:2 |ParityWas:40 |OpnCls:2 |OrdNumL1:1000000012171430 |OrdNumL2:1100000012499220 |OrdNumL3:2100000012829262 |OrdNumL4:2000000013704952 |M2M:3779.25
2024-May-21 09:49:01 |NIFTY24MAY-24000-22600PE |TRDPARITY:865 |QTY:1 |ParityWas:810 |OpnCls:1 |OrdNumL1:1200000041153965 |OrdNumL2:1200000041156796 |OrdNumL3:1200000041156798 |OrdNumL4:1200000041156800 |M2M:3959.25
2024-May-21 09:50:23 |NIFTY24523-22200-22450CE |TRDPARITY:-20 |QTY:2 |ParityWas:40 |OpnCls:2 |OrdNumL1:1000000013032232 |OrdNumL2:1000000013047644 |OrdNumL3:2000000014643978 |OrdNumL4:2000000014643979 |M2M:3760.75
2024-May-21 09:50:23 |NIFTY24523-22000-22450CE |TRDPARITY:-35 |QTY:2 |ParityWas:55 |OpnCls:2 |OrdNumL1:1000000013032231 |OrdNumL2:1000000013047742 |OrdNumL3:2000000014644114 |OrdNumL4:2000000014644115 |M2M:3760.75
2024-May-21 09:50:23 |NIFTY24523-22200-22500CE |TRDPARITY:-105 |QTY:2 |ParityWas:40 |OpnCls:2 |OrdNumL1:1000000013046657 |OrdNumL2:1100000013407742 |OrdNumL3:2100000013720814 |OrdNumL4:2000000014646857 |M2M:3760.75
2024-May-21 09:52:53 |NIFTY24MAY-24500-22600PE |TRDPARITY:1085 |QTY:1 |ParityWas:1050 |OpnCls:1 |OrdNumL1:1200000044370644 |OrdNumL2:1200000044388489 |OrdNumL3:1200000044388491 |OrdNumL4:1200000044388492 |M2M:3986.25
2024-May-21 09:54:05 |NIFTY24523-22300-22500CE |TRDPARITY:60 |QTY:2 |ParityWas:95 |OpnCls:1 |OrdNumL1:1100000014433911 |OrdNumL2:1100000014434261 |OrdNumL3:2100000014744235 |OrdNumL4:2100000014744238 |M2M:3993.25
2024-May-21 09:54:05 |NIFTY24523-22300-22450CE |TRDPARITY:35 |QTY:2 |ParityWas:95 |OpnCls:1 |OrdNumL1:1100000014433978 |OrdNumL2:1000000014041596 |OrdNumL3:2000000015729721 |OrdNumL4:2100000014744353 |M2M:4013.25
2024-May-21 09:54:05 |NIFTY24523-22300-22550CE |TRDPARITY:100 |QTY:2 |ParityWas:105 |OpnCls:1 |OrdNumL1:1100000014433977 |OrdNumL2:1100000014434378 |OrdNumL3:2100000014744346 |OrdNumL4:2100000014744350 |M2M:4013.25
2024-May-21 09:54:17 |NIFTY24MAY-20500-22500CE |TRDPARITY:1110 |QTY:2 |ParityWas:1085 |OpnCls:1 |OrdNumL1:1200000045673324 |OrdNumL2:1200000045714190 |OrdNumL3:1200000045714193 |OrdNumL4:1200000045714198 |M2M:4476.25
2024-May-21 09:55:20 |NIFTY24523-23000-22400PE |TRDPARITY:180 |QTY:2 |ParityWas:50 |OpnCls:2 |OrdNumL1:2000000016201850 |OrdNumL2:2000000016254514 |OrdNumL3:1000000014494429 |OrdNumL4:1000000014494437 |M2M:4514.75
2024-May-21 09:55:20 |NIFTY24523-21700-22400CE |TRDPARITY:170 |QTY:2 |ParityWas:500000 |OpnCls:1 |OrdNumL1:1100000014907780 |OrdNumL2:1000000014495191 |OrdNumL3:2000000016255476 |OrdNumL4:2100000015227817 |M2M:4558.75
2024-May-21 09:55:43 |NIFTY24523-21600-22450CE |TRDPARITY:145 |QTY:1 |ParityWas:65 |OpnCls:2 |OrdNumL1:1000000014628422 |OrdNumL2:1000000014647256 |OrdNumL3:2000000016436645 |OrdNumL4:2000000016436646 |M2M:4559.00
2024-May-21 10:05:18 |NIFTY24523-22600-22500PE |TRDPARITY:85 |QTY:2 |ParityWas:90 |OpnCls:1 |OrdNumL1:2000000019309462 |OrdNumL2:2100000018119625 |OrdNumL3:1100000017660581 |OrdNumL4:1000000017156149 |M2M:4579.00
2024-May-21 10:05:18 |NIFTY24523-22600-22400PE |TRDPARITY:140 |QTY:2 |ParityWas:105 |OpnCls:1 |OrdNumL1:2000000019309378 |OrdNumL2:2000000019309821 |OrdNumL3:1000000017156051 |OrdNumL4:1000000017156055 |M2M:4626.50
2024-May-21 10:05:18 |NIFTY24523-22600-22450PE |TRDPARITY:75 |QTY:2 |ParityWas:95 |OpnCls:1 |OrdNumL1:2000000019309438 |OrdNumL2:2000000019309886 |OrdNumL3:1000000017156124 |OrdNumL4:1000000017156125 |M2M:4642.50
2024-May-21 10:09:03 |NIFTY24523-21850-22500CE |TRDPARITY:330 |QTY:1 |ParityWas:220 |OpnCls:1 |OrdNumL1:1000000018139322 |OrdNumL2:1100000018634234 |OrdNumL3:2100000019179419 |OrdNumL4:2000000020325779 |M2M:4708.00
2024-May-21 10:15:20 |NIFTY24523-22000-22500CE |TRDPARITY:60 |QTY:2 |ParityWas:50 |OpnCls:2 |OrdNumL1:1000000019488742 |OrdNumL2:1100000019989781 |OrdNumL3:2100000020678097 |OrdNumL4:2000000021778133 |M2M:4691.50
2024-May-21 10:16:05 |NIFTY24523-22000-22500CE |TRDPARITY:70 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1000000019704130 |OrdNumL2:1100000020225561 |OrdNumL3:2100000020925993 |OrdNumL4:2000000022024877 |M2M:4686.00
2024-May-21 10:16:07 |NIFTY24523-22000-22450CE |TRDPARITY:120 |QTY:1 |ParityWas:70 |OpnCls:2 |OrdNumL1:1000000019740449 |OrdNumL2:1000000019742031 |OrdNumL3:2000000022044987 |OrdNumL4:2000000022044993 |M2M:4693.50
2024-May-21 10:16:31 |NIFTY24523-22000-22450CE |TRDPARITY:75 |QTY:1 |ParityWas:70 |OpnCls:2 |OrdNumL1:1000000019862488 |OrdNumL2:1000000019863264 |OrdNumL3:2000000022175109 |OrdNumL4:2000000022175110 |M2M:4689.75
2024-May-21 10:25:12 |NIFTY24523-22000-22500CE |TRDPARITY:65 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1000000021471871 |OrdNumL2:1100000022099827 |OrdNumL3:2100000022823825 |OrdNumL4:2000000023963753 |M2M:4683.00
2024-May-21 10:26:04 |NIFTY24523-22200-22450CE |TRDPARITY:60 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1000000021652752 |OrdNumL2:1000000021658077 |OrdNumL3:2000000024148521 |OrdNumL4:2000000024148522 |M2M:4680.75
2024-May-21 10:32:41 |NIFTY24523-22200-22450CE |TRDPARITY:70 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1000000022874027 |OrdNumL2:1000000022874293 |OrdNumL3:2000000025399496 |OrdNumL4:2000000025399497 |M2M:4681.00
2024-May-21 10:32:55 |NIFTY24523-22200-22550CE |TRDPARITY:60 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:1000000022919815 |OrdNumL2:1100000023752250 |OrdNumL3:2100000024287901 |OrdNumL4:2000000025445532 |M2M:4678.00
2024-May-21 10:32:58 |NIFTY24523-22200-22450CE |TRDPARITY:65 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1000000022925874 |OrdNumL2:1000000022926234 |OrdNumL3:2000000025451338 |OrdNumL4:2000000025451340 |M2M:4677.00
2024-May-21 10:35:02 |NIFTY24523-22200-22550CE |TRDPARITY:70 |QTY:1 |ParityWas:60 |OpnCls:2 |OrdNumL1:1000000023330571 |OrdNumL2:1100000024205460 |OrdNumL3:2100000024703955 |OrdNumL4:2000000025877794 |M2M:4676.50
2024-May-21 10:35:34 |NIFTY24523-22200-22500CE |TRDPARITY:40 |QTY:1 |ParityWas:35 |OpnCls:2 |OrdNumL1:1000000023419586 |OrdNumL2:1100000024306322 |OrdNumL3:2100000024794358 |OrdNumL4:2000000025975494 |M2M:4669.50
2024-May-21 10:36:24 |NIFTY24523-23000-22450PE |TRDPARITY:65 |QTY:1 |ParityWas:45 |OpnCls:2 |OrdNumL1:2000000026094587 |OrdNumL2:2000000026094982 |OrdNumL3:1000000023525303 |OrdNumL4:1000000023525304 |M2M:4661.50
