--------------------2024-May-21 07:45:05------------------------------------
--------------------2024-May-21 07:57:26------------------------------------
2024-May-21 09:34:27 |FINNIFTY24521-21300-21500CE |TRDPARITY:20 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000026213929 |OrdNumL2:1200000026216824 |OrdNumL3:1900000023551165 |OrdNumL4:1900000023551166 |M2M:1690.10
2024-May-21 09:34:27 |FINNIFTY24521-21000-21600CE |TRDPARITY:50 |QTY:2 |ParityWas:145 |OpnCls:1 |OrdNumL1:1200000026209531 |OrdNumL2:1200000026217611 |OrdNumL3:1900000023551659 |OrdNumL4:1900000023551660 |M2M:1694.10
2024-May-21 09:34:27 |FINNIFTY24521-21550-21500PE |TRDPARITY:110 |QTY:2 |ParityWas:25 |OpnCls:2 |OrdNumL1:1900000023547290 |OrdNumL2:1900000023551806 |OrdNumL3:1200000026217719 |OrdNumL4:1200000026217720 |M2M:1759.70
2024-May-21 09:34:27 |FINNIFTY24521-21250-21600CE |TRDPARITY:35 |QTY:2 |ParityWas:80 |OpnCls:1 |OrdNumL1:1200000026214951 |OrdNumL2:1200000026216259 |OrdNumL3:1900000023550726 |OrdNumL4:1900000023550728 |M2M:1763.70
2024-May-21 09:34:27 |FINNIFTY24521-21300-21400CE |TRDPARITY:30 |QTY:1 |ParityWas:70 |OpnCls:1 |OrdNumL1:1200000026216594 |OrdNumL2:1200000026218598 |OrdNumL3:1900000023552568 |OrdNumL4:1900000023552570 |M2M:1764.90
2024-May-21 09:34:27 |FINNIFTY24521-21300-21600CE |TRDPARITY:55 |QTY:1 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000026253449 |OrdNumL2:1200000026253697 |OrdNumL3:1900000023584690 |OrdNumL4:1900000023584691 |M2M:1768.10
2024-May-21 09:34:27 |FINNIFTY24521-21300-21600CE |TRDPARITY:-75 |QTY:1 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000026256788 |OrdNumL2:1200000026256986 |OrdNumL3:1900000023587214 |OrdNumL4:1900000023587216 |M2M:1719.30
2024-May-21 09:34:27 |FINNIFTY24521-21300-21600CE |TRDPARITY:-35 |QTY:1 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000026260544 |OrdNumL2:1200000026261020 |OrdNumL3:1900000023590195 |OrdNumL4:1900000023590196 |M2M:1686.50
2024-May-21 09:34:27 |FINNIFTY24521-21300-21500CE |TRDPARITY:15 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000026261184 |OrdNumL2:1200000026261625 |OrdNumL3:1900000023590782 |OrdNumL4:1900000023590783 |M2M:1677.70
2024-May-21 09:34:27 |FINNIFTY24521-21300-21600CE |TRDPARITY:75 |QTY:1 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000026263439 |OrdNumL2:1200000026263720 |OrdNumL3:1900000023592566 |OrdNumL4:1900000023592568 |M2M:1688.90
2024-May-21 09:34:27 |FINNIFTY24521-21300-21600CE |TRDPARITY:30 |QTY:1 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000026264472 |OrdNumL2:1200000026264480 |OrdNumL3:1900000023593284 |OrdNumL4:1900000023593285 |M2M:1682.10
2024-May-21 09:34:27 |FINNIFTY24521-21300-21500CE |TRDPARITY:45 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000026264471 |OrdNumL2:1200000026264626 |OrdNumL3:1900000023593383 |OrdNumL4:1900000023593384 |M2M:1682.10
2024-May-21 09:34:27 |FINNIFTY24521-21300-21400CE |TRDPARITY:25 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1200000026264357 |OrdNumL2:1200000026264634 |OrdNumL3:1900000023593389 |OrdNumL4:1900000023593393 |M2M:1682.10
2024-May-21 09:34:27 |FINNIFTY24521-21300-21500CE |TRDPARITY:55 |QTY:1 |ParityWas:55 |OpnCls:2 |OrdNumL1:1200000026265492 |OrdNumL2:1200000026265531 |OrdNumL3:1900000023594537 |OrdNumL4:1900000023594548 |M2M:1689.30
2024-May-21 09:34:27 |FINNIFTY24521-21300-21600CE |TRDPARITY:10 |QTY:1 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000026265493 |OrdNumL2:1200000026265542 |OrdNumL3:1900000023594550 |OrdNumL4:1900000023594552 |M2M:1674.50
2024-May-21 09:34:36 |FINNIFTY24521-21300-21400CE |TRDPARITY:50 |QTY:1 |ParityWas:50 |OpnCls:2 |OrdNumL1:1200000026507722 |OrdNumL2:1200000026507742 |OrdNumL3:1900000023879590 |OrdNumL4:1900000023879591 |M2M:1681.30
2024-May-21 09:34:38 |FINNIFTY24521-21100-21400CE |TRDPARITY:90 |QTY:2 |ParityWas:70 |OpnCls:2 |OrdNumL1:1200000026553977 |OrdNumL2:1200000026554432 |OrdNumL3:1900000023927682 |OrdNumL4:1900000023927686 |M2M:1706.10
2024-May-21 09:34:40 |FINNIFTY24521-21300-21600CE |TRDPARITY:-10 |QTY:1 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000026612785 |OrdNumL2:1200000026613625 |OrdNumL3:1900000023989793 |OrdNumL4:1900000023989794 |M2M:1683.30
2024-May-21 09:34:40 |FINNIFTY24521-21300-21600CE |TRDPARITY:-5 |QTY:2 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000026612712 |OrdNumL2:1200000026614199 |OrdNumL3:1900000023990282 |OrdNumL4:1900000023990283 |M2M:1641.70
2024-May-21 09:34:40 |FINNIFTY24521-21300-21600CE |TRDPARITY:-25 |QTY:1 |ParityWas:35 |OpnCls:2 |OrdNumL1:1200000026615019 |OrdNumL2:1200000026615935 |OrdNumL3:1900000023991975 |OrdNumL4:1900000023991976 |M2M:1612.90
